ano,total_acidentes,num_veiculos_envolvidos,num_mortes,mortes__mil_acidentes,num_acidentes__mortea,num_feridos,feridos__mil_acidentes,num_acidentes__ferido,num_ilesos,ilesos__mil_acidentes,num_acidentes__ileso
2017,89396,144947.25673520076,6243.0,69.835339388786977,14.319397725452507,84076.893256803436,940.499499494423,1.0632647869962315,103205.22085679803,1154.4724692021794,0.86619648945900751
2019,67446,112051.0,5333.0,79.070663938558255,12.646915432214513,79073.0,1172.3897636627821,0.85295865845484553,68634.0,1017.6140912730185,0.982690794649882
2020,63548,103847.0,5291.0,83.259898029835711,12.01058401058401,71480.0,1124.8190344306665,0.88903189703413543,60858.0,957.66979291244411,1.0442012553813795
2018,69206,114475.0,5269.0,76.135017195040888,13.134560637692161,76525.0,1105.756726295408,0.904358052923881,73813.0,1066.5693725977517,0.93758552016582442
2014,169201,301417.0,8234.0,48.66401498809109,20.549064853048336,100832.0,595.93028409997578,1.678048635353856,243276.0,1437.7929208456214,0.69551044903730741
2015,122161,208887.0,6867.0,56.212702908456876,17.789573321683413,90251.0,738.78733802113607,1.3535694895347421,159317.0,1304.1559908645149,0.76677943973336182
2012,184565,328158.0,8663.0,46.937393330263056,21.304975181807688,104466.0,566.01197410126508,1.7667470756035457,267954.0,1451.8137241622194,0.688793598901304
2013,186748,333039.0,8426.0,45.119626448476026,22.163304058865418,103810.0,555.88279392550385,1.7989403718331567,276250.0,1479.2661768800738,0.67601085972850683
2010,183469,321445.0,8623.0,46.99976562798075,21.276701843905833,103219.0,562.59640593233735,1.7774731396351446,268283.0,1462.2797311807444,0.683863681261951
2016,96363,158111.0,6398.0,66.394778078723149,15.061425445451704,86672.0,899.43235474196524,1.1118123500092303,112305.0,1165.4369415647084,0.85804728195538937
2011,192326,339334.0,8675.0,45.10570593679482,22.170144092219019,106827.0,555.44752139596312,1.8003500987578047,280170.0,1456.7453178457411,0.68646179105543059
