"Ano";"Popula??o_residente"
"1996";51368423
"1997";52224701
"1998";52944226
"1999";53663899
"2000";55525740
"2001";56386231
"2002";57134205
"2003";57880352
"2004";58623425
"2005";60313460
"2006";61174428
"2007";61095856
"2008";60974994
"2009";61417666
"2010";62110637
"2011";62649609
"2012";63177694
"2013";63470428
"2014";63791918
"2015";64079340
"2016";64332242
"2017";64550188
"2018";64732472
"2019";64878675
